Date,T_ambient,T_trunk1,T_trunk4,T_exhaust2,T_tank1_bottom,T_tank1_top,T_zone1,T_zone2,T_pool1,V_trunk,Pyranometer,MD_zone1,MD_zone2,MD_exhaust1,Blower,P_tank1,P_pool1,T_zone3,T_zone4,MD_fresh,E_air_array,E_air_dhw,E_air_space,E_air_pool,E_night_flush,E_air_space2,E_night_flush2,E_pv_array,E_home,Vent,Pv_volts,Pv_volts2,Pv_volts3,Pv_volts4,Pv_amps,Pv_amps2,Pv_amps3,Pv_amps4,Pv_status,Pv_status2,Pv_status3,Pv_status4,Z_resets,Alerts,T_inverter,T_inverter2,T_inverter3,T_inverter4,E_inverter,E_inverter2,E_inverter3,E_inverter4,Th_fan,Th1_hvac,Th2_hvac,Th3_hvac,Th4_hvac,Th1_mode,Th2_mode,Th3_mode,Th4_mode,Th1_setpoint,Th2_setpoint,Th3_setpoint,Th4_setpoint,E_pv_life,E_dhw_life,E_space_life,E_night_life,E_pool_life
Tue Jul 26 20:44:55 2016,999.0,46.3,41.4,41.4,73.8,75.0,24.2,24.5,999.0,0.0000, 0,0.00,0.00,0.00,0.0,0.00,0.00,999.0,999.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1199,0.0000,0,86.43,0.00,0.00,0.00,1.54,0.00,0.00,0.00,-1,0,0,0,1,1,0.00,0.00,0.00,0.00,9.892,0.000,0.000,0.000,0,2,2,2,2,1,1,2,2,25.00,23.89,0.00,0.00,7934.783,2436.410,0.000,0.000,0.000
Tue Jul 26 20:59:55 2016,999.0,45.1,40.6,40.6,73.6,75.0,23.6,24.7,999.0,0.0000, 0,0.00,0.00,0.00,0.0,0.00,0.00,999.0,999.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0606,0.0000,0,42.75,0.00,0.00,0.00,0.79,0.00,0.00,0.00,-1,0,0,0,1,1,0.00,0.00,0.00,0.00,10.318,0.000,0.000,0.000,0,2,2,2,2,1,1,2,2,25.00,23.89,0.00,0.00,7935.209,2436.410,0.000,0.000,0.000
Tue Jul 26 21:14:55 2016,999.0,44.1,39.8,39.8,73.5,74.9,23.2,24.4,999.0,0.0000, 0,0.00,0.00,0.00,0.0,0.00,0.00,999.0,999.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1039,0.0000,0,243.23,0.00,0.00,0.00,1.32,0.00,0.00,0.00,4,0,0,0,1,1,35.00,0.00,0.00,0.00,10.596,0.000,0.000,0.000,0,2,2,2,2,1,1,2,2,25.00,23.89,0.00,0.00,7935.487,2436.410,0.000,0.000,0.000
Tue Jul 26 21:29:55 2016,999.0,43.4,38.9,38.9,73.3,74.9,23.1,24.2,999.0,0.0000, 0,0.00,0.00,0.00,0.0,0.00,0.00,999.0,999.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0698,0.0000,0,337.95,0.00,0.00,0.00,0.83,0.00,0.00,0.00,4,0,0,0,1,0,32.00,0.00,0.00,0.00,10.668,0.000,0.000,0.000,0,2,2,2,2,1,1,2,2,25.00,23.89,0.00,0.00,7935.559,2436.410,0.000,0.000,0.000
Tue Jul 26 21:44:55 2016,999.0,42.7,38.3,38.3,73.2,74.8,22.9,24.2,999.0,0.0000, 0,0.00,0.00,0.00,0.0,0.00,0.00,999.0,999.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0970,0.0000,0,357.98,0.00,0.00,0.00,1.13,0.00,0.00,0.00,4,0,0,0,1,0,31.00,0.00,0.00,0.00,10.764,0.000,0.000,0.000,0,2,2,2,2,1,1,2,2,25.00,23.89,0.00,0.00,7935.655,2436.410,0.000,0.000,0.000
Tue Jul 26 21:59:55 2016,999.0,42.0,37.8,37.8,73.1,74.7,23.1,23.7,999.0,0.0000, 0,0.00,0.00,0.00,0.0,0.00,0.00,999.0,999.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1929,0.0000,0,346.17,0.00,0.00,0.00,2.25,0.00,0.00,0.00,4,0,0,0,1,0,31.00,0.00,0.00,0.00,10.959,0.000,0.000,0.000,0,2,2,2,2,1,1,2,2,25.00,23.89,0.00,0.00,7935.850,2436.410,0.000,0.000,0.000
Tue Jul 26 22:14:55 2016,999.0,41.3,37.3,37.3,72.9,74.7,23.8,24.0,999.0,0.0000, 0,0.00,0.00,0.00,0.0,0.00,0.00,999.0,999.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1417,0.0000,0,347.24,0.00,0.00,0.00,1.70,0.00,0.00,0.00,4,0,0,0,1,0,31.00,0.00,0.00,0.00,11.101,0.000,0.000,0.000,0,2,2,2,2,1,1,2,2,25.00,23.89,0.00,0.00,7935.992,2436.410,0.000,0.000,0.000
Tue Jul 26 22:29:55 2016,999.0,40.7,37.0,37.0,72.8,74.6,24.1,24.4,999.0,0.0000, 0,0.00,0.00,0.00,0.0,0.00,0.00,999.0,999.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1653,0.0000,0,350.71,0.00,0.00,0.00,1.96,0.00,0.00,0.00,4,0,0,0,1,0,31.00,0.00,0.00,0.00,11.266,0.000,0.000,0.000,0,2,2,2,2,1,1,2,2,25.00,23.89,0.00,0.00,7936.157,2436.410,0.000,0.000,0.000
Tue Jul 26 22:44:55 2016,999.0,40.1,36.6,36.6,72.6,74.6,23.5,24.6,999.0,0.0000, 0,0.00,0.00,0.00,0.0,0.00,0.00,999.0,999.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1662,0.0000,0,348.48,0.00,0.00,0.00,1.98,0.00,0.00,0.00,4,0,0,0,1,0,31.00,0.00,0.00,0.00,11.431,0.000,0.000,0.000,0,2,2,2,2,1,1,2,2,25.00,23.89,0.00,0.00,7936.322,2436.410,0.000,0.000,0.000
Tue Jul 26 22:59:55 2016,999.0,39.6,36.3,36.3,72.5,74.5,23.1,24.2,999.0,0.0000, 0,0.00,0.00,0.00,0.0,0.00,0.00,999.0,999.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1002,0.0000,0,344.09,0.00,0.00,0.00,1.21,0.00,0.00,0.00,4,0,0,0,1,0,31.00,0.00,0.00,0.00,11.531,0.000,0.000,0.000,0,2,2,2,2,1,1,2,2,25.00,25.00,0.00,0.00,7936.422,2436.410,0.000,0.000,0.000
