Date,T_ambient,T_trunk1,T_trunk4,T_exhaust2,T_tank1_bottom,T_tank1_top,T_zone1,T_zone2,T_pool1,V_trunk,Pyranometer,MD_zone1,MD_zone2,MD_exhaust1,Blower,P_tank1,P_pool1,T_zone3,T_zone4,MD_fresh,E_air_array,E_air_dhw,E_air_space,E_air_pool,E_night_flush,E_air_space2,E_night_flush2,E_pv_array,E_home,Vent,Pv_volts,Pv_volts2,Pv_volts3,Pv_volts4,Pv_amps,Pv_amps2,Pv_amps3,Pv_amps4,Pv_status,Pv_status2,Pv_status3,Pv_status4,Z_resets,Alerts,T_inverter,T_inverter2,T_inverter3,T_inverter4,E_inverter,E_inverter2,E_inverter3,E_inverter4,Th_fan,Th1_hvac,Th2_hvac,Th3_hvac,Th4_hvac,Th1_mode,Th2_mode,Th3_mode,Th4_mode,Th1_setpoint,Th2_setpoint,Th3_setpoint,Th4_setpoint,E_pv_life,E_dhw_life,E_space_life,E_night_life,E_pool_life
Tue Jun 28 13:53:55 2016,999.0,30.9,29.0,29.0,62.6,69.2,23.8,24.2,999.0,0.0000, 0,0.00,0.00,0.00,0.0,0.00,0.00,999.0,999.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0712,0.0000,0,80.46,0.00,0.00,0.00,0.86,0.00,0.00,0.00,4,0,0,0,1,1,41.00,0.00,0.00,0.00,1.338,0.000,0.000,0.000,0,2,2,2,2,1,1,2,2,23.33,24.44,0.00,0.00,7519.265,2255.046,0.000,0.000,0.000
Tue Jun 28 14:08:55 2016,999.0,30.9,29.0,29.0,62.5,69.1,23.1,24.0,999.0,0.0000, 0,0.00,0.00,0.00,0.0,0.00,0.00,999.0,999.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0325,0.0000,0,33.92,0.00,0.00,0.00,0.40,0.00,0.00,0.00,-1,0,0,0,1,1,0.00,0.00,0.00,0.00,1.664,0.000,0.000,0.000,0,2,2,2,2,1,1,2,2,23.33,24.44,0.00,0.00,7519.591,2255.046,0.000,0.000,0.000
Tue Jun 28 14:23:55 2016,999.0,30.9,29.0,29.0,62.5,69.1,23.5,23.9,999.0,0.0000, 0,0.00,0.00,0.00,0.0,0.00,0.00,999.0,999.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1451,0.0000,0,134.02,0.00,0.00,0.00,1.80,0.00,0.00,0.00,4,0,0,0,1,1,44.00,0.00,0.00,0.00,2.025,0.000,0.000,0.000,0,2,2,2,2,1,1,2,2,23.33,24.44,0.00,0.00,7519.952,2255.046,0.000,0.000,0.000
Tue Jun 28 14:38:55 2016,999.0,30.9,29.0,29.0,62.4,69.0,23.9,24.2,999.0,0.0000, 0,0.00,0.00,0.00,0.0,0.00,0.00,999.0,999.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1542,0.0000,0,132.82,0.00,0.00,0.00,1.93,0.00,0.00,0.00,-1,0,0,0,1,1,0.00,0.00,0.00,0.00,2.400,0.000,0.000,0.000,0,2,2,2,2,1,1,2,2,23.33,24.44,0.00,0.00,7520.327,2255.046,0.000,0.000,0.000
Tue Jun 28 14:53:55 2016,999.0,30.9,29.1,29.1,62.3,69.0,23.8,24.2,999.0,0.0000, 0,0.00,0.00,0.00,0.0,0.00,0.00,999.0,999.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0812,0.0000,0,64.81,0.00,0.00,0.00,1.04,0.00,0.00,0.00,-1,0,0,0,1,1,0.00,0.00,0.00,0.00,2.798,0.000,0.000,0.000,0,2,2,2,2,1,1,2,2,23.33,24.44,0.00,0.00,7520.725,2255.046,0.000,0.000,0.000
Tue Jun 28 15:08:55 2016,999.0,49.2,49.2,49.2,62.5,68.9,23.6,24.1,999.0,3.3853, 0,0.00,0.00,0.00,53.6,24.67,0.00,999.0,999.0,0.00,0.1261,0.0843,0.0000,0.0000,0.0000,0.0000,0.0000,0.1414,0.0000,0,106.95,0.00,0.00,0.00,1.84,0.00,0.00,0.00,-1,0,0,0,1,1,0.00,0.00,0.00,0.00,3.228,0.000,0.000,0.000,0,2,2,2,2,1,1,2,2,23.33,24.44,0.00,0.00,7521.155,2255.130,0.000,0.000,0.000
Tue Jun 28 15:23:55 2016,999.0,70.6,66.9,66.9,66.4,68.9,23.2,23.9,999.0,6.2066, 0,0.00,0.00,0.00,90.0,100.00,0.00,999.0,999.0,0.00,0.3821,0.3821,0.0000,0.0000,0.0000,0.0000,0.0000,0.0595,0.0000,0,42.56,0.00,0.00,0.00,0.78,0.00,0.00,0.00,-1,0,0,0,1,1,0.00,0.00,0.00,0.00,3.672,0.000,0.000,0.000,0,2,2,2,2,1,1,2,2,23.33,24.44,0.00,0.00,7521.599,2255.512,0.000,0.000,0.000
Tue Jun 28 15:38:55 2016,999.0,72.4,68.1,68.1,67.8,68.5,23.4,24.0,999.0,6.2066, 0,0.00,0.00,0.00,90.0,100.00,0.00,999.0,999.0,0.00,0.4312,0.4312,0.0000,0.0000,0.0000,0.0000,0.0000,0.0460,0.0000,0,31.36,0.00,0.00,0.00,0.61,0.00,0.00,0.00,4,0,0,0,1,1,49.00,0.00,0.00,0.00,4.129,0.000,0.000,0.000,0,2,2,2,2,1,1,2,2,23.33,24.44,0.00,0.00,7522.056,2255.943,0.000,0.000,0.000
Tue Jun 28 15:53:55 2016,999.0,72.7,68.6,68.6,68.4,68.6,23.9,24.3,999.0,6.2066, 0,0.00,0.00,0.00,90.0,100.00,0.00,999.0,999.0,0.00,0.4160,0.4160,0.0000,0.0000,0.0000,0.0000,0.0000,0.1658,0.0000,0,155.40,0.00,0.00,0.00,2.21,0.00,0.00,0.00,4,0,0,0,1,1,49.00,0.00,0.00,0.00,4.544,0.000,0.000,0.000,0,2,2,2,2,1,1,2,2,23.33,24.44,0.00,0.00,7522.471,2256.359,0.000,0.000,0.000
Tue Jun 28 16:08:55 2016,999.0,72.7,68.8,68.8,68.9,69.1,23.9,24.4,999.0,6.2066, 0,0.00,0.00,0.00,90.0,100.00,0.00,999.0,999.0,0.00,0.3969,0.3969,0.0000,0.0000,0.0000,0.0000,0.0000,0.1101,0.0000,0,188.72,0.00,0.00,0.00,1.46,0.00,0.00,0.00,4,0,0,0,1,1,48.00,0.00,0.00,0.00,4.878,0.000,0.000,0.000,0,2,2,2,2,1,1,2,2,23.33,24.44,0.00,0.00,7522.805,2256.756,0.000,0.000,0.000
